S.no,Title,Video ID,Published At,Keyword,Likes,Comments,Views
265,Why Copper River King Salmon IÖ,loQWJaa1_hM,2022-07-26,business,13126,600,746236
266,‡∏ï‡∏•‡∏≤‡∏î‡∏ñ‡∏∏‡∏á‡∏°‡∏∑‡∏≠Ö,cG37cEi1nPc,2022-08-23,business,-1,13,12332
267,Liger Day 1 Advance Booking &aÖ,N9uyC-V2-uY,2022-08-24,business,2667,303,42274
268,"helping a homeless woman, starÖ",fABhkvOSllI,2022-08-24,business,5006,157,82844
269,How Liquidating Unwanted GoodsÖ,ddbb2nPwC-c,2022-02-19,business,19993,1870,1851336
270,Racist AI Rapper Gets Bounced Ö,jXkKghLs2O8,2022-08-24,business,667,305,11649
271,Lakeyah Ft. Latto - Mind Yo BuÖ,4hCogXAzONk,2022-06-03,business,146358,3790,7989628
272,I Quit My $21K Day Job To StarÖ,odN3ON4ZVOE,2022-07-20,business,3440,769,108903
273,Tshepiso Ramotsehoa | Life StoÖ,On1iHuNBoMA,2022-08-24,business,187,29,4073
274,Small Business | TikTok CompilÖ,nXOroUomnjA,2021-03-24,business,22861,977,1437698
275,How To Use Canva For BEGINNERSÖ,un50Bs4BvZ8,2021-01-07,tutorial,25630,1741,1435374
276,FULL FACE OF FLAWLESS In-DepthÖ,dhLCzSwUTvc,2019-06-29,tutorial,158935,8326,6100867
277,Microsoft Excel Tutorial for BÖ,Vl0H-qTclOg,2020-10-28,tutorial,74485,1569,4435209
278,APIs for Beginners - How to usÖ,GZvSYJDk-us,2019-12-17,tutorial,80368,2008,3368446
279,MySQL Tutorial for Beginners [Ö,7S_tz1z_5bA,2019-03-20,tutorial,170234,7686,7367727
280,‚ÄòClean Girl‚Äô Makeup TutoriÖ,JPUbSvsxjsY,2022-06-20,tutorial,30518,486,879609
281,Figma UI Design Tutorial: Get Ö,FTFaQWZBqQ8,2020-12-08,tutorial,45040,1451,1632584
282,HOW TO: EASY EVERYDAY FALL MAKÖ,QWMg1TWGaLA,2022-08-22,tutorial,1341,72,19323
283,Worlds Cleanest Fade - HaircutÖ,3SdJygwlfWU,2022-05-20,tutorial,5180,129,190491
284,Java Tutorial for BeginnersÖ,eIrMbAQSU34,2019-07-15,tutorial,195700,7321,7569833
285,Kubernetes Tutorial for BeginnÖ,X48VuDVv0do,2020-11-06,tutorial,73498,3270,4984442
286,C++ Tutorial for Beginners - FÖ,vLnPwxZdW4Y,2018-08-24,tutorial,235659,11732,9769103
287,you need to learn SQL RIGHT NOÖ,xiUTqnI6xk8,2022-08-17,tutorial,10669,1149,223700
288,How to Design a TutorialÖ,45csSEotJY8,2022-07-05,tutorial,8433,882,151493
289,Lightroom Tutorial BASICS | PhÖ,5x3Hy7zie94,2020-10-18,tutorial,63857,1655,1564431
290,Python Tutorial - Python Full Ö,_uQrJ0TkZlc,2019-02-18,tutorial,838345,50531,28574258
291,Learn Python - Full Course forÖ,rfscVS0vtbw,2018-07-11,tutorial,880208,42227,35771194
292,Gordon Ramsay&#39;s perfect buÖ,iM_KMYulI_s,2017-05-24,tutorial,981522,122371,68512549
293,HTML Tutorial for Beginners: HÖ,qz0aGYrrlhU,2021-01-11,tutorial,114246,3748,4416622
294,EXTRA GLAM Makeup TutorialÖ,nf8ySuesAPg,2020-08-06,tutorial,143191,3883,7549484
295,Reacting to people following mÖ,3yYU1BOrSo8,2022-01-30,tutorial,216934,4192,5656681
296,179 Minecraft Build Hacks!Ö,sNRcVXkZjWM,2022-07-03,tutorial,205557,4239,7783157
297,Gordon Ramsay&#39;s Top Basic Ö,FTociictyyE,2019-11-07,tutorial,132845,3878,7975584
298,31 Tricks to Become a MinecrafÖ,bJQV9JHiMho,2022-08-12,tutorial,74900,1841,1454316
299,30 Easy DIY Projects For BeginÖ,2G5f_LpdLh0,2018-06-01,tutorial,76010,788,7906241
300,Clean Girl On The Go Makeup TuÖ,NlAxapKT0x8,2022-02-04,tutorial,18780,514,679453
301,How to play &#39;Interstellar&Ö,nfFQm82IqUc,2022-08-05,tutorial,4315,203,83902
302,Tutorials That Went Wrong - PaÖ,Ayhct2DylC4,2022-07-06,tutorial,23977,1964,925547
303,TypeScript Tutorial for BeginnÖ,d56mG7DezGs,2022-05-23,tutorial,4985,576,191830
304,Facing My Worst Fears... MakeuÖ,Qb_u2M9Wrsk,2022-05-23,tutorial,44083,3332,870453
305,Lisa Rinna‚Äôs Guide to AgelesÖ,mpS6UNfnajw,2020-11-19,tutorial,63543,2634,1642556
306,Sony a7R III Training TutorialÖ,ExqpymyUFt4,2018-02-01,tutorial,12050,697,793228
307,Drawing faces tutorialÖ,oQm8Df4UYNw,2021-03-05,tutorial,101457,955,1684678
308,How to Get Waves (5 Step TutorÖ,WJD8P9Fi1yc,2021-08-20,tutorial,18184,601,622551
309,Tutorial -  Friday Night FunkiÖ,V-7nSV5M3Bk,2020-12-01,tutorial,47823,2897,3335591
310,FANTASTIC BEAUTY TUTORIAL | AmÖ,h3Xpc1KoCbM,2022-01-09,tutorial,93094,1136,26355125
311,EVERYDAY SUMMER MAKEUP TUTORIAÖ,GMsrRe_4akE,2022-07-28,tutorial,12502,1115,203851
312,Hailey Bieber&#39;s Date NightÖ,O_qgaOUR3Fo,2022-06-15,tutorial,121477,2653,3218250
313,How to Get Sturdy in 2022 | DaÖ,bRE4ehYNvIY,2022-01-03,tutorial,41409,1025,1253037
314,Learn to JUGGLE 3 BALLS - BegiÖ,dCYDZDlcO6g,2019-09-17,tutorial,29065,2375,1592794
315,25 Features Mojang Keeps a SecÖ,o9gQBGk1XaE,2022-08-14,tutorial,97091,2989,2417577
316,Euphoria‚Äôs Alexa Demie ShareÖ,UxQg3_Cmwhw,2019-07-30,tutorial,869059,12196,21485819
317,BACK TO SCHOOL HAIR TUTORIAL! Ö,ZIJpiMXOaUg,2022-08-23,tutorial,10595,826,345071
318,How to Moonwalk (Dance Moves TÖ,QGm6v9-1ZBU,2017-02-01,tutorial,190593,5568,11034311
319,20 Minecraft Block Facts You MÖ,LeC5yJq4tsI,2022-08-21,tutorial,57526,1115,1204024
320,SPEAKING DUTCH ONLY Makeup TutÖ,jL0qadiKDlQ,2019-07-18,tutorial,407460,40969,11745320
321,Tutorials That Went WRONGÖ,cHU8kPS9vEY,2021-09-08,tutorial,186142,5329,5646817
322,Tutorial üòç do u want to seeÖ,ud9TRfHA1EM,2022-07-25,tutorial,375997,2031,7009241
323,the minecraft tutorial world hÖ,lMmqdJG1i94,2022-03-29,tutorial,702681,15608,7892369
324,Musica Tutorial completa FNF  Ö,YddlgO8ZN00,2021-01-22,tutorial,8851,287,525488
325,The best and worst retail tradÖ,54CXEWwy5U4,2022-08-23,finance,113,32,5110
326,Bajaj Finance Decade&#39;s TopÖ,ZtiuDBnbYmk,2022-08-24,finance,954,81,13991
327,Tech firms can&#39;t hide behiÖ,0vEdNPoeemQ,2022-08-22,finance,40,14,2783
328,Housing: ‚ÄòThis might be almoÖ,gwCWtTzf4Ss,2022-08-22,finance,765,319,100366
329,"Intel, Brookfield ink $30 billÖ",gNC_d2G_Eyo,2022-08-23,finance,59,23,7093
330,Student loan forgiveness a &#3Ö,TnOvQ7Tae8I,2022-08-24,finance,13,21,1485
331,Where the ultra-wealthy are alÖ,RqziFH-RdJI,2022-08-20,finance,346,65,29751
332,Friday Finance | Season 03 | TÖ,V6hofBnlJLY,2022-08-18,finance,16,3,83121
333,The European Energy CRISIS (WiÖ,5_NdbRUNjoY,2022-08-22,finance,1834,500,39296
334,White House Press BriefingÖ,KoAXaMX_Bq8,2022-08-24,finance,44,6,2597
335,"Food prices, gas and housing: Ö",REEBfd1EbhI,2022-08-21,finance,66,13,3882
336,Recession fears? Canadians cutÖ,JpleDvbCvbE,2022-08-22,finance,36,40,6709
337,Ethereum merge: ‚ÄòThis is a hÖ,fkzjkU2Pemk,2022-08-21,finance,124,72,7816
338,"1. Introduction, Financial TerÖ",wvXDB9dMdEo,2015-01-06,finance,53635,1650,6224649
339,Stocks moving in after hours: Ö,7RvBj9r5Dhg,2022-08-23,finance,29,2,2285
340,William Ackman: Everything YouÖ,WEDIj9JBTC8,2012-11-27,finance,213398,13619,9450554
341,Money and Finance: Crash CoursÖ,Dugn51K_6WA,2015-10-14,finance,17269,903,1366364
342,Stocks moving in after hours: Ö,dCfCJ1kAPeQ,2022-08-19,finance,68,40,7325
343,Is the real estate market slidÖ,eQeoqm8q1m8,2022-08-18,finance,96,45,12456
344,U.S. Defense briefing on aid tÖ,wjhbTqGt5tc,2022-08-24,finance,14,3,1195
345,Mohamed El-Erian predicts Fed Ö,12VhIiNsmoQ,2022-08-21,finance,490,185,32926
346,&#39;One Man&#39;s Freebie Is Ö,Z1zGF078tWw,2022-08-17,finance,4590,1035,255706
347,Seven Steps to Financial WellnÖ,FoLhnfKA-B4,2022-08-19,finance,69,2,3534
348,Chappelle&#39;s Show - Wu-TangÖ,zhUnEg0he4A,2017-12-31,finance,39868,1068,2797148
349,Fed: &#39;Things break&#39; whÖ,C0YBeTs3Sr0,2022-08-19,finance,83,32,8862
350,Why eggs are becoming more expÖ,PMbu27Yjs40,2022-08-20,finance,51,36,4384
351,Tamil Nadu Finance Min PalanivÖ,DUi-noArzW8,2022-08-17,finance,19621,7087,890196
352,Gravitas Plus | Financial LiteÖ,7oj6gpAbYgw,2021-07-11,finance,37925,3545,1213867
353,India Today is a Miracle‚Ä¶ButÖ,ZMsam_0CObA,2022-08-20,finance,24181,4776,608005
354,10 personal finance lessons thÖ,bMXTGGxrQ3A,2021-11-03,finance,29610,1473,637152
355,Finance experts on the prospecÖ,_kGzxVf02M0,2022-08-18,finance,1692,268,93564
356,&#39;A Storm Is Brewing: SteveÖ,mAukJsMg_xI,2022-07-14,finance,2236,595,118523
357,Become a Master of Finance witÖ,oSGld-eY7BM,2017-08-02,finance,4894,201,196484
358,Finance influencer talks sociaÖ,jNA6j8rsa3s,2022-08-20,finance,57,13,2548
359,Ed Hyman: The Economy is DoingÖ,vkBWC70edhw,2022-08-19,finance,319,180,29180
360,Introduction to Corporate FinaÖ,5eGRi66iUfU,2016-11-19,finance,19352,597,1344472
361,No Consideration of Charges foÖ,RbT6GksZOmk,2022-08-22,finance,404,30,22593
362,"Personal finance: How to save,Ö",0uYnj1i1EQw,2020-09-23,finance,40534,1851,1257676
363,BJP Slams Tamil Nadu Finance MÖ,KuttwkM3LEc,2022-08-17,finance,1289,1852,189066
364,bitcoin holders...what are theÖ,Rhbmn9elNcc,2022-08-24,crypto,2713,115,46082
365,I got suedÖ,B95xYAfRCtY,2022-08-23,crypto,34468,4428,390348
366,The REAL REASON Bitcoin Will HÖ,M5Ul0c_Wd-Q,2022-08-24,crypto,5595,641,77109
367,Attention: Bitcoin is About toÖ,U-WawEOgGLA,2022-08-23,crypto,1720,272,20600
368,ATOM COSMOS PREND SON ENVOL üÖ,TbAo2-I_UcU,2022-08-24,crypto,230,95,2201
369,Youtuber Gets Sued By Crypto MÖ,uPZOzWFr5KU,2022-08-24,crypto,27738,2355,474368
370,China&#39;s Economic CRASH: WhÖ,JJeWBxhXWGM,2022-08-23,crypto,12829,802,192740
371,woah...pay attention to bitcoiÖ,fhfcEigOfqA,2022-08-24,crypto,3405,171,57692
372,ALERT!!!!!!!! BITCOIN BREAKOUTÖ,wX4_IbxeDpU,2022-08-24,crypto,1908,199,23786
373,Top Crypto Experts On EthereumÖ,M9ASq40D1P8,2022-08-23,crypto,3400,170,45779
374,Rep. Boebert skips crypto repoÖ,E3R0mnnMP0k,2022-08-24,crypto,212,429,6443
375,The Next 72 Hours Could Make OÖ,fatt4mTXxeI,2022-08-24,crypto,1700,60,21012
376,Coinbase CEO Brian Armstrong oÖ,GAUDp-iw6z0,2022-08-23,crypto,90,138,7050
377,BITCOIN BREAKOUT IN 48 HOURS!!Ö,9Nv6cfEbWjs,2022-08-23,crypto,765,463,9585
378,MAJOR Indicator Flashes | But Ö,fABgTl593C4,2022-08-23,crypto,2645,102,35571
379,THIS WILL SHOCK EVERYONE!!!!!Ö,lDcqVQnptw8,2022-08-24,crypto,827,568,8502
380,is the BITCOIN crash almost ovÖ,JpJ2-wjxzCE,2022-08-24,crypto,626,49,7989
381,GET READY FOR 25th-27th AUGUSTÖ,L1IriPbz1EU,2022-08-24,crypto,2015,239,18216
382,One Asset Is About To Smash BiÖ,WTsmsij8ge4,2022-08-24,crypto,3179,184,43235
383,48 HOURS UNTIL THE CRYPTO MARKÖ,8JE0yOUAFmM,2022-08-24,crypto,431,154,4247
384,üö® 39 Days Until Europe‚Äôs Ö,ROcNcDiicGI,2022-08-24,crypto,1992,216,25115
385,üî•5 CRYPTO COINS TO DCA SOONÖ,uTrnjvYD1Bo,2022-08-23,crypto,1450,238,15689
386,Critical Ethereum Bug (BitcoinÖ,Q_zgBWGwRpI,2022-08-24,crypto,1462,83,25316
387,CRYPTO ABOUT TO REACT TO ECONOÖ,mLXELbuQNQQ,2022-08-23,crypto,1324,249,30328
388,all eyes on these two...what wÖ,bsWdHTTvn10,2022-08-23,crypto,2719,168,48051
389,"Takeoff, Rich The Kid - CryptoÖ",EPQJHNXdJfM,2022-03-11,crypto,182663,6456,6366422
390,FRIDAY IS A &quot;MASSIVE&quotÖ,RxFc-B0nWaQ,2022-08-23,crypto,476,280,6160
391,Raoul Pal Update: Time Is RunnÖ,rwUuug2dzk0,2022-08-24,crypto,66,105,1616
392,BITBOY CRYPTO SUES @Atozy  CRAÖ,CEZ2UPYnPUU,2022-08-24,crypto,105,51,1599
393,Warren Buffet Hates Bitcoin! (Ö,JsU8L0Vd0DM,2022-08-23,crypto,1493,69,23035
394,THIS MARKET IS EXTREMELY DEADLÖ,kTwoBKSefKQ,2022-08-23,crypto,3638,314,39409
395,üî• TOP 5 CRYPTO EXPLOSIVES QÖ,74d7rGfrW54,2022-08-24,crypto,408,45,7771
396,BINANCE JUST SCORED A HUGE WINÖ,h-NVvKlwItY,2022-08-24,crypto,257,27,2742
397,this is not good...but will itÖ,2POK4LI1Xt4,2022-08-23,crypto,3091,200,52909
398,"WAVE COUNT FAVORS UP, as CryptÖ",sPrDiRxRjNI,2022-08-23,crypto,3916,158,30871
399,NEW Crypto Gameplay *BROKEN LEÖ,BrB7EgdkQ6Q,2022-08-24,crypto,357,101,10554
400,INVESTOR BIG SHORT INI MENJUALÖ,e8IkcY-5SPw,2022-08-24,crypto,92,55,2546
401,BITCOIN 4 YEAR LOW ON EXCHANGEÖ,lwk6GsEsOa8,2022-08-22,crypto,2258,125,28047
402,"Mt. Gox - Bitcoin to $10,000 ?Ö",Q6D14KkvK3o,2022-08-23,crypto,2539,314,36410
403,DON XHONI - CRYPTO (Prod. by RÖ,rRlyx054z20,2022-03-12,crypto,95151,3859,11805668
404,WORST Housing Crash JUST STARTÖ,hguYY6DvuFA,2022-08-23,crypto,4303,360,46495
405,Market Drops üìâ NFTs in TrouÖ,y-Ai1SXe2n8,2022-08-22,crypto,2379,177,31510
406,Large BITCOIN Wallets are BUYIÖ,4rFglVbT-1M,2022-08-23,crypto,757,35,9099
407,Jerome Powell About To CRASH TÖ,M-PNseEteqQ,2022-08-23,crypto,310,114,4723
408,Best Indicators for Crypto DayÖ,djKoPtWQa1o,2022-08-24,crypto,629,202,8867
409,üî¥ URGENT Bitcoin Shocking TÖ,L1myCVUeR4Q,2022-08-23,crypto,705,627,7516
410,Urgent! If You Hold ANY CryptoÖ,qb9ldWdVJP4,2022-08-23,crypto,1021,634,11448
411,Bitcoin 4 Year Cycle PredictioÖ,IsKI359lAbQ,2022-08-23,crypto,1606,183,27258
412,Crypto news today - Bitcoin prÖ,smp-vZwlyrQ,2022-08-24,crypto,418,71,5034
413,ATTN: BITCOIN HODLERS!!!!!! LOÖ,FCHw3qpog_Q,2022-08-23,crypto,1987,181,25648
414,When Your Rubik‚Äôs Cube is IMÖ,Gn5UtuyHhzo,2022-08-23,cubes,2072,156,79265
415,Rubik&#39;s Cubes From Level 1Ö,KWYb7pxhhWM,2021-02-27,cubes,111085,18963,10963984
416,My Rubik&#39;s Cube CollectionÖ,MyDnyfS7c1g,2020-12-21,cubes,32280,2947,2570601
417,How to Solve a 3x3 Rubik&#39;sÖ,KGvQRaK1mvs,2019-05-24,cubes,511551,25520,49429306
418,[2022] My Rubik&#39;s Cube ColÖ,Qo9WqPfcMDQ,2021-12-22,cubes,15064,1245,1669884
419,Why did I order 3000 Rubik&#39Ö,vgicYVYft3s,2022-08-23,cubes,23205,1028,235294
420,$2000 WORLD&#39;S BIGGEST CUBEÖ,wsaYy-YHLWs,2021-11-26,cubes,9760,879,380649
421,EVERY RUBIK&#39;S CUBE FROM 1xÖ,Zexcefmr0cY,2021-07-10,cubes,2025653,8188,58590655
422,This Kid Solves RUBIK&#39;S CUÖ,cq1rdB4Nu4o,2020-02-17,cubes,233724,8895,10608521
423,How to Solve a Rubik&#39;s CubÖ,R-R0KrXvWbc,2019-09-05,cubes,339759,32717,29905105
424,"Proof There‚Äôs 43,252,003,274Ö",G1WctpbuWyk,2022-08-24,cubes,11069,298,156011
425,ROSHTEIN NEW AMAZING RECORD WIÖ,2qXhKXCILLg,2022-06-22,cubes,275,14,21114
426,Solving Rubik‚Äôs cube of all Ö,ymIF1sPtcJc,2021-12-03,cubes,46684,1770,1962673
427,My 10 Year Old Solved A Rubik&Ö,Ycn6-ydiEeI,2022-05-08,cubes,11943,1582,838788
428,WHOSE CUBE IS THE BEST? ‚öîÔ∏èÖ,kkaF1pyhYAA,2020-07-04,cubes,20909,2455,1782074
429,Can you open this cube? Ft. @ZÖ,R2SnOAXOqX0,2022-08-21,cubes,110517,493,1847672
430,Top 10 Coolest Rubik&#39;s CubÖ,eB5XX_-tiPs,2022-02-26,cubes,36738,967,2458686
431,HUGE $500 CUBE UNBOXING | WhatÖ,JAxKVxo8LFI,2020-06-16,cubes,19054,1926,900960
432,Blue Rubik‚Äôs Cube üîµÖ,C_8BN_CL2tw,2022-04-07,cubes,228332,689,6329576
433,Stickers VS Stickerless Rubik&Ö,2ze9mm3tZTA,2021-02-23,cubes,39281,2003,2372539
434,Infinite cube glitch? ü§îÖ,5Ab5rhdwEQw,2022-04-18,cubes,867676,8428,16209382
435,18 PUZZLE MASSIVE UNBOXING üòÖ,rN-jJRLe0uY,2021-02-06,cubes,50788,1455,5281537
436,Magic trick to solve Rubik&#39Ö,nZ7m5UDvfps,2021-04-29,cubes,428683,2964,12964069
437,How to solve a Rubik‚Äôs cube Ö,E7-0GYMCwyQ,2020-02-08,cubes,129552,4612,13278916
438,CAN WE SOLVE RUBIK&#39;S CUBESÖ,U8Y9a4ktw34,2021-04-03,cubes,9432,510,738726
439,TRICK To Solve Rubik Cube In JÖ,axyNCiXeym8,2022-07-13,cubes,634419,7981,6170029
440,POV: You Get a Shiny Cube on EÖ,MtS9rIFQacU,2022-04-17,cubes,79852,2601,6149318
441,Rubik‚Äôs Cubes Then vs Now #sÖ,_LHo5ZRE3es,2022-05-28,cubes,60991,278,1134047
442,Making the largest Rubik‚Äôs CÖ,egGtItqv8ss,2020-03-24,cubes,82390,1772,10106841
443,Solving the huge Rubik&#39;s CÖ,6MWTTiNhu7I,2020-03-13,cubes,636440,16875,39581966
444,Evolution of the Rubik&#39;s CÖ,c-UYuy7ttFg,2022-01-11,cubes,309903,995,7308863
445,Can You spot the Fake Rubik‚ÄôÖ,LIdwACwZ7E4,2021-11-07,cubes,837671,5178,23535618
446,BEST VIDEO FOR SOLVING RUBIK&#Ö,AuYVJWN-A2c,2020-11-17,cubes,51599,6817,4795109
447,üò±2/2 Cube Solved in 1 seconÖ,CkhgF-bP2cc,2022-07-24,cubes,205854,338,4543326
448,üòØTriangle cube solving chalÖ,ElSQJJ_dnSQ,2022-08-03,cubes,94707,81,2036446
449,It is IMPOSSIBLE to Un-Solve TÖ,23-ZSXAdKkw,2022-04-20,cubes,308847,1487,5884330
450,Rubik&#39;s cube spinner movesÖ,BiLRJyI9KPk,2021-09-17,cubes,367266,1001,10125075
451,ScrambledÖ,kmrZyByO8Qc,2018-11-29,cubes,752667,6382,50348575
452,INSANE WIN on Cubes 2 Slot! (BÖ,mvhz2HTGf3k,2022-08-02,cubes,150,14,10146
453,How to NOT use a cube stand‚Ä¶Ö,jnc2M_aLtiY,2022-06-12,cubes,356355,1413,5533307
454,Solve 3x3 rubik&#39;s cube üòÖ,ulLge_FqRyI,2022-07-15,cubes,81516,77,3074914
455,how to solve rubik&#39;s cube Ö,fUwXjv-9VZU,2021-11-10,cubes,40407,149,1574015
456,Why Th√© Rubik&#39;s Cube Is PÖ,l8nAhqoo_sE,2022-05-21,cubes,23288,1633,1360604
457,Do metal ice cubes work?Ö,kw1LyzdWaDo,2022-06-24,cubes,402045,2922,6742766
458,Learn How to Solve a Rubik&#39Ö,7Ron6MN45LY,2018-09-19,cubes,461154,47971,38289391
459,Ice Cube - It Was A Good DayÖ,h4UqMyldS7Q,2009-02-24,cubes,2307773,71897,168546247
460,Secret Rubik‚Äôs cube hiding sÖ,9y9hhI90Vk8,2021-11-02,cubes,738796,1960,24994827
461,BEST Magic Show in the world -Ö,PFA-RmV_wG0,2016-09-29,cubes,954935,28908,94900199
462,When your Rubik&#39;s Cube is Ö,5s5BSfHKauw,2022-07-02,cubes,7004,412,457957
463,Shark Tank US | Lori Gives OutÖ,gwKFZlyZ99E,2021-07-26,cubes,41945,1808,3157064
464,STOCKFISH CRUSHES... StockfishÖ,0w7AcgGAPss,2022-08-24,chess,11053,1264,180651
465,Chess.com Makes Offer To Play Ö,DP-K0mYHeD0,2022-08-24,chess,1411,221,36310
466,FIDE Dunks On Magnus? Why Do TÖ,xHWuoy4yJGo,2022-08-23,chess,1569,167,55539
467,Chess.com Buys Play Magnus!!! Ö,hUiimkqWupY,2022-08-24,chess,2547,263,85191
468,The 4 WORST Chess OpeningsÖ,GLpYQCCcZ6w,2022-08-23,chess,8907,1122,170926
469,Champions Chess Tour: FTX CrypÖ,9FPqc2iXd0U,2022-08-20,chess,1678,83,141306
470,Elefante38 IMPRESSIONA SUPER GÖ,2pt9bQzRCYs,2022-08-24,chess,8738,412,53211
471,A brief history of chess - AleÖ,YeB-1F-UKO0,2019-09-12,chess,176829,6375,7571701
472,The History Of Chess: A ReflecÖ,kkOweffr3II,2022-08-21,chess,2546,173,51885
473,*NEW* FPS Chess Game ModeÖ,JGe7fInlJaM,2022-08-04,chess,137884,4568,3068118
474,I Made a BETTER ChessÖ,mcivL8u176Y,2022-06-25,chess,77110,6113,1457290
475,How To Learn &amp; Study ChessÖ,6IegDENuxU4,2020-12-17,chess,77520,1947,2213038
476,Best Chess Opening for White AÖ,UApgiHQKemk,2022-08-24,chess,621,38,21164
477,Endgame closure | CM Crevatin Ö,gVqeaFLr9Ec,2022-08-24,chess,52,11,2471
478,FINALS: Can Fedoseev Stop HansÖ,U5RPDMEjucw,2022-08-24,chess,519,9,40223
479,Champions Chess Tour: FTX CrypÖ,p5kFz_RdhPQ,2022-08-15,chess,1521,47,103248
480,Please Stalemate MeÖ,mhhJFWsAHlo,2022-08-24,chess,1643,59,38688
481,3 WINS AGAINST MAGNUS CARLSEN!Ö,Zxp5hZIwSEc,2022-08-22,chess,9544,820,198004
482,How To Play Chess: The UltimatÖ,OCSbzArwB10,2020-12-02,chess,98001,3626,2615459
483,Numbaa 7 - Chess (Exclusive ByÖ,zpYdgUoitd4,2021-07-02,chess,34514,1228,1469736
484,Chess.com Buying Chess24? WhatÖ,PSEgcXUy9zU,2022-08-24,chess,239,20,4130
485,Champions Chess Tour: FTX CrypÖ,yf5O-PcU5WQ,2022-08-20,chess,736,39,74253
486,Champions Chess Tour: FTX CrypÖ,nGrFH7v3Z_E,2022-08-21,chess,2765,200,193604
487,Champions Chess Tour: FTX CrypÖ,NpJRRFH7xKI,2022-08-18,chess,1444,46,108383
488,Champions Chess Tour: FTX CrypÖ,yO0c4ztKHdk,2022-08-21,chess,901,53,78841
489,Ultimate Showdown || Carlsen vÖ,M1ZAP5H_o8s,2022-08-21,chess,4783,184,137405
490,Chess Trash Talker Says He&#39Ö,PBTy3TqWmgk,2022-08-16,chess,5444,684,229865
491,7 MOST COMMON Chess MistakesÖ,SXrKRA_KZ5k,2021-09-14,chess,46158,2486,1142057
492,9-Year-Old Boy Defeats A ProfeÖ,CS3RauXJzBA,2021-11-23,chess,160983,6443,13844095
493,Champions Chess Tour: FTX CrypÖ,#NAME?,2022-08-16,chess,1234,44,92760
494,Bobby Fischer crushes Chilean Ö,_9Ly6jx2uz8,2022-04-05,chess,7927,603,466494
495,"$150K On The Line: Hikaru, FabÖ",4y4V0ndpyJk,2022-08-18,chess,814,27,55105
496,Magnus Smiling Entire Game AgaÖ,cGlAN4YxWVw,2022-08-20,chess,4232,283,124442
497,I Was SHOCKED When I Heard ThiÖ,BkC1xEZn-6o,2022-06-10,chess,10670,1189,1020154
498,Pragg Beats Super GM in &quot;Ö,Rk4bAofG8xE,2022-08-18,chess,8534,517,254621
499,Opening Prep Is Useless‚Ä¶ VidÖ,vK00aD8FmsE,2022-08-23,chess,589,17,47926
500,Human Chess In Real Life With Ö,wxuyqABS6kQ,2021-12-12,chess,136598,4140,5231674
501,Champions Chess Tour: FTX CrypÖ,DCHo5HSIkRA,2022-08-17,chess,1314,84,100586
502,TOP 10 Chess Grandmaster CRUSHÖ,Jc3TgOaC_5Q,2022-08-19,chess,9062,452,200847
503,Using Magnus Carlsen to CHEAT Ö,zdsdEVngg7Y,2021-04-22,chess,90491,1633,2854238
504,Punishing Beginner Mistakes | Ö,D2Gs5upS1AA,2020-09-02,chess,44471,1359,2853191
505,Learn to Play Chess Today in LÖ,hF4X7ZkaRTE,2021-01-18,chess,19895,1434,1094217
506,Why Did the World‚Äôs Best CheÖ,Od3gG13tyf8,2022-03-04,chess,143561,8930,3854528
507,I Trained Like A Chess GrandmaÖ,t8IVLOM1fXI,2021-10-07,chess,117286,4398,3128517
508,Chess in a NutshellÖ,D2RrRsBgbv0,2020-08-12,chess,219213,5353,5423172
509,How to Assess ANY Chess PositiÖ,#NAME?,2022-08-24,chess,58,21,601
510,The Master AlekhineÖ,JLt4ZYoaj3c,2022-08-24,chess,383,14,4951
511,Apple Announces Fall iPhone EvÖ,4hzVivXyhyo,2022-08-24,apple,915,107,47811
512,Apple&#39;s  September 7th iPhÖ,9Q9z1cDxo50,2022-08-24,apple,1294,163,42191
513,Apple September 7 iPhone 14 EvÖ,pv5v20md5Sk,2022-08-24,apple,4187,723,83807
514,iPhone 14 Event = RUINED! FIRSÖ,epMDcAG_YjQ,2022-08-23,apple,7385,1081,132072
515,iPhone 14 Apple Event AnnounceÖ,eqOWtZHQV3I,2022-08-24,apple,3586,295,108055
516,Apple September 2022 Event - 8Ö,ByVAo54hYeQ,2022-08-20,apple,5638,520,255839
517,Was bringt das Apple-SeptemberÖ,be1frkduYbY,2022-08-24,apple,184,47,1954
518,V√¨ sao pin Apple Watch k√©m hÖ,kmHrlTdUYwM,2022-08-24,apple,282,29,9401
519,Apple warns of security vulnerÖ,otsvpBxGtKQ,2022-08-20,apple,478,137,31657
520,Keynote Apple le 7 Septembre :Ö,VHQq2fLD7AU,2022-08-24,apple,358,21,4639
521,Apple September Event - Every Ö,cqwpLa7eN54,2022-08-16,apple,4248,593,154901
522,Apple iPhone 14 Event is here Ö,AlHcBLIJXeI,2022-08-24,apple,1818,181,27676
523,I Used the CHEAPEST M2 MacBookÖ,JV_twMJbCik,2022-08-24,apple,1916,209,61195
524,iPhone 14 Pro Max First LookÖ,P3Q5XYacz5E,2022-05-13,apple,91267,8050,5210940
525,Why iPhone 14 is so good | AppÖ,N1kjLnSv6Wg,2022-07-30,apple,5409,698,378563
526,Apple urges users to update deÖ,X-hJj5hKrdo,2022-08-20,apple,332,32,49591
